,name,description
919,Lazy Bear Games,
920,Agatsuma Entertainment,
921,Metro,
922,Aruze Corp,
923,Ubi Nagoya,
924,Perfuse Entertainment,
925,WXP,
926,Nex Entertainment,
927,Eighting,
928,Midway Studios - Austin,
929,Human Entertainment,
930,Bitbox Ltd.,
931,Koei / Inis,
932,Harebrained Schemes,
933,Storm City Games,
934,High Voltage Software / Ubisoft Paris,
935,GRIN,
936,Nintendo EAD / Q-Games,
937,William's Entertainment,
938,Raster Productions,
939,VIVARIUM Inc.,
940,"Machatin, Inc.",
941,X-ample,
942,Take-Two Interactive,
943,Airtight Games,
944,WBIE,
945,Blade Interactive,
946,Yacht Club Games,
947,Celeris,
948,WayForward Technologies,
949,KCEO,
950,Dekovir Entertainment,
951,Noio,
952,Killer Game,
953,Dambuster Studios,
954,Backbone Entertainment / Harmonix Music Systems,
955,Warthog,
956,HandMade Game,
957,"Visual Concepts, Ltd.",
958,Sproing Interactive Media,
959,Eugen Systems,
960,AWE Games,
961,Terryglyph Interactive Studios,
962,Contraband Entertainment,
963,RedLynx,
964,Toy Box,
965,Jaleco Entertainment,
966,Agetec Inc.,
967,GhostShark,
968,DreamRift,
969,Nerial,
970,Now Production,
971,SCE,
972,Blue Tongue Entertainment,
973,Answer Software,
974,Incinerator Games,
975,Vlambeer,
976,Dreamworks Games,
977,Red Dot Games,
978,Sidhe Interactive,
979,Frictional Games,
980,Exient Ltd.,
981,Cyanide Studios,
982,Namco / Team MelFes,
983,Pocketeers,
984,Scholastic Interactive,
985,Impulse Gear,
986,Egosoft,
987,Gust,
988,Acclaim,
989,WXP / Screenlife Games,
990,Griffin International,
991,Hazelight,
992,Totally Games,
993,WizarBox,
994,Toy Box Studios,
995,Ubisoft Casablanca,
996,Armature Studio,
997,Sniper Studios,
998,Invent4 Entertainment,
999,Stardock,
1000,Next Entertainment,
1001,Ratbag,
1002,Ultravision,
1003,Complie,
1004,Psygnosis,
1005,ACES Studio/Microsoft Game Studios,
1006,New,
1007,Beyond Games,
1008,The Pitbull Syndicate Limited,
1009,Titus Software,
1010,AI,
1011,Hudson,
1012,Data East,
1013,Ubisoft Barcelona / Ubisoft Reflections,
1014,Modulaatio Games,
1015,Nadeo,
1016,Deck Nine,
1017,Activision Value,
1018,PagodaWest Games,
1019,Shin'en GmbH,
1020,Spike Co.,
1021,Magellan Interactive,
1022,Buzz Monkey,
1023,Creations,
1024,Blue Shift,
1025,Crave Entertainment,
1026,Tantalus,
1027,Software Creations,
1028,KAGAMI WORKs,
1029,Koei Tecmo Games,
1030,Eighting / Raizing,
1031,Ape Studios / HAL Laboratory / Brownie Brown,
1032,Climax Group / ImaginEngine,
1033,argent,
