,name,description
994,Beatshapers,
995,Aroma,
996,Twisted Pixel Games,
997,Affect,
998,Domark Software,
999,Gipnetix Games,
1000,MPI Games,
1001,100 Gates,
1002,FPS,
1003,Mediatonic,
1004,SelectSoft,
1005,Teyon Entertainment,
1006,G5 Entertainment,
1007,Sound Technology,
1008,Nikita,
1009,Tasuke,
1010,CIRCLE Entertainment,
1011,Visit,
1012,QubicGames,
1013,"Days Of Wonder, Inc.",
1014,Alice Soft,
1015,Cosmigo,
1016,MidBoss,
1017,Software Toolworks,
1018,2XL Games,
1019,D4 Enterprise,
1020,Cypronia,
1021,Sony Imagesoft,
1022,Apprope,
1023,EnjoyUp Games,
1024,StormBASIC,
1025,GAE,
1026,Comolink,
1027,Cryo Interactive,
1028,Webfoot Technologies,
1029,Sanuk Games,
1030,Sierra Online,
1031,Xing Entertainment,
1032,Nippon Create,
1033,Playrix Entertainment,
1034,Game Circus LLC,
1035,LOTUM GmbH,
1036,Fruitella Games,
1037,AGENIUS Interactive,
1038,4PM Game LTD,
1039,cerasus.media,
1040,Cosmonaut Games,
1041,Phoenix Games,
1042,Altron,
1043,Bottom Up,
1044,2DEngine.com,
1045,Nitrome,
1046,Cinemax,
1047,Zaxis Games,
1048,bom667,
1049,RunnerGames,
1050,Sonic Powered,
1051,Freebird Games,
1052,Absolute Entertainment,
1053,High Horse Entertainment,
1054,NinjaBee,
1055,G5 Software,
1056,Infocom,
1057,LJN,
1058,Frima Studio,
1059,"Lost Decade Games, LLC",
1060,Dynamix,
1061,Sachen,
1062,Illusion,
1063,Bloober Team,
1064,Riot,
1065,Bluestone Interactive,
1066,Degica,
1067,gamesbymo,
1068,Davilex,
1069,Arcadia Systems,
1070,Gamelion Studios,
1071,Milton Bradley,
1072,8bits fanatics,
1073,Jast,
1074,Myth People,
1075,Total Eclipse,
1076,ArtePiazza,
1077,Laughing Jackal,
1078,Com2uS,
1079,BBC Multimedia,
1080,7th Level,
1081,HandyGames,
1082,Taki,
1083,Salu,
1084,Techiku,
1085,Digital Media Lab,
1086,Active Enterprises,
1087,Vertigo Games,
1088,BiP Media,
1089,Slitherine,
1090,Slitherine Studios,
1091,"Rideon Japan, Inc.",
1092,IBM,
1093,Supersolid Ltd,
1094,CyberSoft,
1095,Turbo Technologies,
1096,CRI,
1097,CSK Research Institute,
1098,Yudo,
1099,Halfbrick Studios,
1100,KnapNok Games,
1101,HES Interactive,
1102,Pione Soft,
1103,TGC,
1104,Abylight,
1105,"GRAVITY Co.,Ltd",
1106,Iron Tower Studio,
1107,Isquared Games,
1108,ECRUSH DI DI NATALE SALVATORE,
1109,Silent Software Inc.,
1110,Snail Game,
1111,evoline srl,
1112,NDS Software,
1113,ITE Media,
1114,Buka Entertainment,
1115,ADK,
1116,Acute Entertainment,
1117,Ateam,
1118,Soft Bank,
1119,GameBank,
1120,i4,
1121,F&C,
1122,Key,
1123,U.S. Army,
1124,Kaneko Co. Ltd,
1125,Seismic,
1126,Qubic Games,
1127,GMI,
1128,Matrix Games,
1129,Battlefront.com,
1130,ICD,
1131,Santos,
1132,Game Studio,
1133,"VOOZ CO.,LTD",
1134,TRADEGAME Lab Inc.,
1135,Kyugo Boueki,
1136,Wolf Team,
1137,Micronet,
1138,California Pacific,
1139,Feng,
1140,LukPlus,
1141,age,
1142,Haruneko,
